,BIDR,BRL,USDT,XRP,LTC,EUR,PAX,LUNA,LINK,BUSD,ATOM,AUD,DOGE,MATIC,BTC,DOT,TRX,TRY,RUB,ADA,FTM,ETH,GBP,BTT,AVAX,EOS,USDC,BNB,SOL,TUSD,ALGO,ETC,WAVES
BIDR,,,14917.00,5556.00,,,,,,14919.00,,,1031.00,13549.00,346055984.00,130139.00,,,,7810.00,5604.00,25359374.00,,,410456.00,,,4891376.00,607121.00,,,,
BRL,,,5.18800000,1.92900000,316.50000000,,,,42.80000000,5.18700000,58.64000000,,0.35820000,4.71200000,120405.00000000,45.31000000,,,,2.71600000,1.95000000,8819.91000000,,,143.60000000,,,1702.00000000,211.20000000,,,,
USDT,6.702862122126148e-05,0.1927153594141453,,0.37200000,61.00000000,,,2.09310000,8.25800000,0.99980000,11.32900000,,0.06914000,0.90910000,23213.69000000,8.73000000,0.06972000,0.05562972852692479,0.016414970453053183,0.52390000,0.37620000,1700.66000000,,,27.72000000,1.23200000,,328.10000000,40.73000000,,0.35560000,36.99000000,6.21400000
XRP,0.0001798237727027513,0.5175983436853002,2.6874496103198067,,,2.7314941272876263,,,,2.6867275658248255,,1.8549434242255611,,,62344.13965087282,,,0.14952153110047847,0.04403346543372963,,,4568.296025582457,3.236245954692557,,,,2.6867275658248255,881.057268722467,,2.684563758389262,,,
LTC,,0.0031565656565656565,0.0163907556138338,,,0.016658337497917706,,,,0.016388069485414616,,,,,380.37276531000384,,,,0.00026899074671831287,,,27.862914460852608,0.019743336623889437,,,,0.01638001638001638,5.3792361484669176,,,,,
EUR,,,,0.36600000,59.99000000,,,,8.12100000,,11.13900000,,0.06796000,0.89400000,22834.84000000,8.59000000,0.06859000,,,0.51550000,0.36970000,1673.13000000,,,27.26000000,1.21100000,,322.80000000,40.06000000,,,36.36000000,6.11100000
PAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUNA,,,0.4776689754000477,,,,,,,0.47764615972487584,,,,,,,,,,,,,,,,,,,,,,,
LINK,,0.023310023310023312,0.12108003390240948,,,0.12300123001230011,,,,0.12103606874848705,,0.08353521009105337,,,2810.567734682406,,,0.006734006734006734,,,,205.88840848260242,0.14598540145985403,,,,0.12105072025178551,39.714058776806986,,,,,
BUSD,6.702412868632708e-05,0.1927525057825752,1.000100010001,0.37210000,61.00000000,,,2.09320000,8.26100000,,11.33000000,,0.06916000,0.90930000,23216.07000000,8.73000000,0.06973000,0.055642109948809255,0.016420361247947456,0.52400000,0.37620000,1700.99000000,,,27.72000000,1.23200000,,328.20000000,40.73000000,,0.35560000,36.99000000,6.21300000
ATOM,,0.016753224995811694,0.088261253309797,,,0.0897021887334051,,,,0.08824567596187786,,,,,2048.760499897562,,,0.004909180166912126,,,,149.97000599880025,,,,,0.0881678716275789,28.91844997108155,,,,,
AUD,,,,0.53850000,,,,,11.94200000,,,,0.10004000,1.31510000,33601.20000000,12.63000000,,,,0.75830000,0.54440000,2462.13000000,,,40.10000000,,,474.80000000,58.95000000,,,,
DOGE,0.0009689922480620155,2.785515320334262,14.461315979754158,,,14.690759512266784,,,,14.457134595923089,,9.97804829375374,,,335570.46979865775,,,0.8045052292839903,0.23719165085388993,,,,17.42767514813524,,,,,,,,,,
